ERROR 2025-06-16 19:27:39,776 basehttp 30293 6158397440 "GET /projects/1/ HTTP/1.1" 500 59
ERROR 2025-06-16 19:27:51,814 basehttp 30293 6158397440 "GET /projects/1/ HTTP/1.1" 500 59
ERROR 2025-06-18 05:51:01,951 error_views 38448 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:51:01,952 error_views 38448 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:51:01,952 error_views 38448 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:51:01,952 error_views 38448 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:51:01,952 error_views 38448 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:51:01,952 error_views 38448 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:51:01,952 error_views 38448 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:51:01,952 error_views 38448 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:51:06,730 error_views 38448 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:51:06,730 error_views 38448 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:51:06,730 error_views 38448 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:51:06,730 error_views 38448 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:51:06,730 error_views 38448 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:51:06,730 error_views 38448 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:51:06,730 error_views 38448 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:51:06,730 error_views 38448 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:51:07,931 error_views 38448 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:51:07,931 error_views 38448 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:51:07,931 error_views 38448 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:51:07,931 error_views 38448 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:51:07,931 error_views 38448 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:51:07,931 error_views 38448 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:51:07,931 error_views 38448 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:51:07,931 error_views 38448 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:51:15,510 error_views 38448 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:51:15,510 error_views 38448 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
